Customer_ID,Total_Revenue,Order_Count,First_Purchase,Last_Purchase,Lifespan_Days,Avg_Order_Value,Purchase_Frequency,CLV_Simple,CLV_Category
CUST0001,943.7708423935009,8,2022-02-14 00:00:00,2023-01-14 04:00:00,334,117.9713552991876,8.748502994011975,3096.21826512778,High
CUST0002,617.5317254115159,6,2022-01-13 00:00:00,2023-01-28 14:00:00,380,102.92195423525266,5.767105263157895,1780.685231893865,Medium
CUST0003,548.8606916488864,5,2022-03-28 21:00:00,2023-01-15 05:00:00,292,109.77213832977728,6.254280821917808,2059.6373386105042,Medium
CUST0004,247.11787763708224,3,2022-02-25 11:00:00,2022-11-26 17:00:00,274,82.37262587902741,3.9990875912408756,988.2460380322367,Low
CUST0005,337.3411846868325,4,2022-01-25 05:00:00,2022-11-04 19:00:00,283,84.33529617170812,5.162544169611308,1306.1540746310839,Low
CUST0006,523.0773190384444,4,2022-02-25 06:00:00,2022-11-14 07:00:00,262,130.7693297596111,5.576335877862595,2187.641115787693,Medium
CUST0007,559.9084372987143,5,2022-03-15 05:00:00,2022-12-12 01:00:00,271,111.98168745974286,6.738929889298893,2263.9102220297646,Medium
CUST0008,530.19327924288,5,2022-02-20 13:00:00,2022-12-07 04:00:00,289,106.03865584857598,6.319204152249135,2010.2397430117153,Medium
CUST0009,231.0294450041772,3,2022-01-16 18:00:00,2022-12-23 14:00:00,340,77.0098150013924,3.222794117647059,744.560336362727,Low
CUST0010,557.3067709315343,5,2022-02-11 18:00:00,2022-08-27 17:00:00,196,111.46135418630686,9.317602040816327,3115.657623715453,High
CUST0011,536.2846436745682,5,2022-03-05 23:00:00,2022-10-16 14:00:00,224,107.25692873491364,8.152901785714286,2623.3656174393222,High
CUST0012,965.1071979104096,9,2022-01-31 01:00:00,2022-12-24 14:00:00,327,107.23413310115662,10.052752293577981,3233.994532447496,High
CUST0013,586.1226307187316,6,2022-02-27 14:00:00,2023-02-02 11:00:00,339,97.6871051197886,6.464601769911504,1894.5246979647497,Medium
CUST0014,654.9987467448761,4,2022-01-03 20:00:00,2023-01-18 00:00:00,379,163.74968668621904,3.8548812664907652,1893.706798801314,Medium
CUST0015,346.14912584663267,5,2022-01-06 12:00:00,2023-01-05 14:00:00,364,69.22982516932653,5.017170329670329,1042.0134743034278,Low
CUST0016,192.70532093807734,2,2022-03-27 03:00:00,2022-11-26 06:00:00,244,96.35266046903867,2.9938524590163937,865.3969484340093,Low
CUST0017,995.1481860635141,7,2022-01-20 11:00:00,2022-11-20 17:00:00,304,142.16402658050202,8.410361842105262,3586.952713418077,Very High
CUST0018,143.1831747224085,2,2022-01-21 17:00:00,2022-03-12 05:00:00,49,71.59158736120425,14.908163265306122,3201.8972184097775,High
CUST0019,1103.990274827222,11,2022-04-30 20:00:00,2023-02-15 01:00:00,290,100.36275225702019,13.854310344827587,4171.370150489409,Very High
CUST0020,172.80062377308428,2,2022-01-23 11:00:00,2022-09-06 14:00:00,226,86.40031188654214,3.232300884955752,837.8154137139695,Low
CUST0021,1200.7781642166374,9,2022-01-03 13:00:00,2023-01-12 22:00:00,374,133.41979602407082,8.789438502673798,3518.055276578558,Very High
CUST0022,1134.7927192240497,8,2022-01-02 10:00:00,2022-12-20 12:00:00,352,141.84908990300622,8.301136363636363,3532.525915027706,Very High
CUST0023,678.8837871468821,5,2022-01-29 00:00:00,2022-08-03 00:00:00,186,135.77675742937643,9.818548387096774,3999.3919879903015,Very High
CUST0024,159.2750839040828,1,2022-04-20 07:00:00,2022-04-20 07:00:00,1,159.2750839040828,365.25,174525.67318789873,Very High
CUST0025,660.0171591136494,7,2022-02-22 18:00:00,2023-02-19 04:00:00,361,94.28816558766421,7.0824099722991685,2003.3623326836048,Medium
CUST0026,216.9402761604794,3,2022-07-03 19:00:00,2022-11-09 07:00:00,128,72.31342538682647,8.560546875,1857.127403147229,Medium
CUST0027,303.50580107282497,5,2022-01-19 16:00:00,2023-01-29 20:00:00,375,60.70116021456499,4.87,886.8439507347946,Low
CUST0028,567.2403493922667,5,2022-02-21 01:00:00,2023-01-01 21:00:00,314,113.44806987845334,5.81608280254777,1979.4701046069304,Medium
CUST0029,909.6050112373911,8,2022-02-05 19:00:00,2022-12-22 11:00:00,319,113.70062640467388,9.15987460815047,3124.450442204926,High
CUST0030,659.0087627623409,3,2022-11-05 15:00:00,2022-11-28 12:00:00,22,219.66958758744696,49.80681818181818,32823.12962712887,Very High
CUST0031,285.14212227003594,3,2022-07-29 16:00:00,2022-10-16 12:00:00,78,95.04737409001199,14.048076923076923,4005.6984676588704,Very High
CUST0032,352.2113187206054,5,2022-03-11 19:00:00,2023-02-01 19:00:00,327,70.44226374412108,5.5848623853211015,1180.2310473642306,Low
CUST0033,267.29808632448373,2,2022-08-09 04:00:00,2022-12-18 13:00:00,131,133.64904316224187,5.576335877862595,2235.8158632828477,Medium
CUST0034,528.4699956627542,4,2022-02-14 10:00:00,2022-11-23 07:00:00,281,132.11749891568854,5.199288256227757,2060.7508816635686,Medium
CUST0035,548.954978403737,5,2022-01-04 11:00:00,2022-12-27 18:00:00,357,109.79099568074739,5.1155462184873945,1684.9227383358393,Low
CUST0036,664.4060934081809,5,2022-01-23 09:00:00,2022-12-02 00:00:00,312,132.8812186816362,5.853365384615385,2333.4069770897895,Medium
CUST0037,519.7878459503437,3,2022-02-02 04:00:00,2022-04-07 06:00:00,64,173.26261531678122,17.12109375,8899.336440626392,Very High
CUST0038,606.9536506490884,3,2022-01-19 09:00:00,2022-06-06 04:00:00,137,202.31788354969615,7.998175182481751,4854.521625538238,Very High
CUST0039,802.0224391129527,7,2022-02-07 00:00:00,2023-02-18 07:00:00,376,114.57463415899325,6.7998670212765955,2337.276828877707,Medium
CUST0040,842.8692680354206,6,2022-04-02 09:00:00,2022-10-18 17:00:00,199,140.47821133923676,11.012562814070352,4641.075379144784,Very High
CUST0041,918.5483240519367,7,2022-01-07 11:00:00,2023-02-03 05:00:00,391,131.22118915027667,6.539002557544757,2574.16707437317,High
CUST0042,117.37115365390514,3,2022-03-18 13:00:00,2022-05-16 14:00:00,59,39.12371788463505,18.572033898305087,2179.8210443435014,Medium
CUST0043,966.2734051017732,8,2022-02-17 17:00:00,2022-12-04 14:00:00,289,120.78417563772165,10.110726643598616,3663.647348236221,Very High
CUST0044,258.10771992630066,2,2022-09-28 17:00:00,2022-11-10 20:00:00,43,129.05385996315033,16.988372093023255,6577.244979284743,Very High
CUST0045,472.2931900230148,4,2022-07-27 12:00:00,2023-01-29 11:00:00,185,118.0732975057537,7.897297297297297,2797.379799825505,High
CUST0046,150.20979363821579,2,2022-09-09 07:00:00,2022-12-11 08:00:00,93,75.10489681910789,7.854838709677419,1769.8105524631712,Medium
CUST0047,466.757831861959,5,2022-01-25 13:00:00,2022-03-24 13:00:00,58,93.3515663723918,31.487068965517242,8818.101625219682,Very High
CUST0048,501.69599752296324,4,2022-02-20 07:00:00,2023-01-04 23:00:00,318,125.42399938074081,4.59433962264151,1728.721349955305,Medium
CUST0049,277.4387508862274,4,2022-06-10 21:00:00,2022-08-06 13:00:00,56,69.35968772155685,26.089285714285715,5428.634130063995,Very High
