Customer_ID,Recency,Frequency,Monetary,R_Score,F_Score,M_Score,RFM_Score,RFM_Score_Numeric,Customer_Segment,Cluster,Cluster_Name
CUST0001,39,8,943.7708423935009,4,5,5,455,4.666666666666667,Champions,0,VIP Customers
CUST0002,25,6,617.5317254115159,4,4,4,444,4.0,Champions,0,VIP Customers
CUST0003,38,5,548.8606916488864,4,3,3,433,3.3333333333333335,Loyal Customers,0,VIP Customers
CUST0004,87,3,247.11787763708224,2,1,1,211,1.3333333333333333,About to Sleep,1,At Risk
CUST0005,109,4,337.3411846868325,2,2,2,222,2.0,About to Sleep,1,At Risk
CUST0006,100,4,523.0773190384444,2,2,3,223,2.3333333333333335,About to Sleep,1,At Risk
CUST0007,72,5,559.9084372987143,3,3,3,333,3.0,Loyal Customers,1,At Risk
CUST0008,77,5,530.19327924288,3,3,3,333,3.0,Loyal Customers,1,At Risk
CUST0009,61,3,231.0294450041772,3,1,1,311,1.6666666666666667,New Customers,1,At Risk
CUST0010,178,5,557.3067709315343,1,3,3,133,2.3333333333333335,At Risk,1,At Risk
CUST0011,129,5,536.2846436745682,2,3,3,233,2.6666666666666665,At Risk,1,At Risk
CUST0012,60,9,965.1071979104096,3,5,5,355,4.333333333333333,Loyal Customers,0,VIP Customers
CUST0013,20,6,586.1226307187316,4,4,3,443,3.6666666666666665,Loyal Customers,0,VIP Customers
CUST0014,35,4,654.9987467448761,4,2,4,424,3.3333333333333335,Potential Loyalists,0,VIP Customers
CUST0015,48,5,346.14912584663267,3,3,2,332,2.6666666666666665,Promising,1,At Risk
CUST0016,88,2,192.70532093807734,2,1,1,211,1.3333333333333333,About to Sleep,1,At Risk
CUST0017,93,7,995.1481860635141,2,4,5,245,3.6666666666666665,At Risk,0,VIP Customers
CUST0018,347,2,143.1831747224085,1,1,1,111,1.0,About to Sleep,1,At Risk
CUST0019,7,11,1103.990274827222,5,5,5,555,5.0,Champions,0,VIP Customers
CUST0020,169,2,172.80062377308428,1,1,1,111,1.0,About to Sleep,1,At Risk
CUST0021,40,9,1200.7781642166374,4,5,5,455,4.666666666666667,Champions,0,VIP Customers
CUST0022,64,8,1134.7927192240497,3,5,5,355,4.333333333333333,Loyal Customers,0,VIP Customers
CUST0023,203,5,678.8837871468821,1,3,4,134,2.6666666666666665,At Risk,1,At Risk
CUST0024,308,1,159.2750839040828,1,1,1,111,1.0,About to Sleep,1,At Risk
CUST0025,3,7,660.0171591136494,5,4,4,544,4.333333333333333,Champions,0,VIP Customers
CUST0026,105,3,216.9402761604794,2,1,1,211,1.3333333333333333,About to Sleep,1,At Risk
CUST0027,23,5,303.50580107282497,4,3,2,432,3.0,Promising,1,At Risk
CUST0028,51,5,567.2403493922667,3,3,3,333,3.0,Loyal Customers,0,VIP Customers
CUST0029,62,8,909.6050112373911,3,5,5,355,4.333333333333333,Loyal Customers,0,VIP Customers
CUST0030,86,3,659.0087627623409,2,1,4,214,2.3333333333333335,About to Sleep,1,At Risk
CUST0031,129,3,285.14212227003594,2,1,1,211,1.3333333333333333,About to Sleep,1,At Risk
CUST0032,20,5,352.2113187206054,4,3,2,432,3.0,Promising,1,At Risk
CUST0033,66,2,267.29808632448373,3,1,1,311,1.6666666666666667,New Customers,1,At Risk
CUST0034,91,4,528.4699956627542,2,2,3,223,2.3333333333333335,About to Sleep,1,At Risk
CUST0035,56,5,548.954978403737,3,3,3,333,3.0,Loyal Customers,0,VIP Customers
CUST0036,82,5,664.4060934081809,2,3,4,234,3.0,At Risk,0,VIP Customers
CUST0037,321,3,519.7878459503437,1,1,3,113,1.6666666666666667,About to Sleep,1,At Risk
CUST0038,261,3,606.9536506490884,1,1,4,114,2.0,About to Sleep,1,At Risk
CUST0039,4,7,802.0224391129527,5,4,5,545,4.666666666666667,Champions,0,VIP Customers
CUST0040,126,6,842.8692680354206,2,4,5,245,3.6666666666666665,At Risk,0,VIP Customers
CUST0041,19,7,918.5483240519367,5,4,5,545,4.666666666666667,Champions,0,VIP Customers
CUST0042,282,3,117.37115365390514,1,1,1,111,1.0,About to Sleep,1,At Risk
CUST0043,80,8,966.2734051017732,2,5,5,255,4.0,At Risk,0,VIP Customers
CUST0044,103,2,258.10771992630066,2,1,1,211,1.3333333333333333,About to Sleep,1,At Risk
CUST0045,24,4,472.2931900230148,4,2,3,423,3.0,Potential Loyalists,1,At Risk
CUST0046,73,2,150.20979363821579,3,1,1,311,1.6666666666666667,New Customers,1,At Risk
CUST0047,335,5,466.757831861959,1,3,3,133,2.3333333333333335,At Risk,1,At Risk
CUST0048,48,4,501.69599752296324,3,2,3,323,2.6666666666666665,New Customers,1,At Risk
CUST0049,200,4,277.4387508862274,1,2,1,121,1.3333333333333333,About to Sleep,1,At Risk
CUST0050,131,5,495.0500659826905,2,3,3,233,2.6666666666666665,At Risk,1,At Risk
CUST0051,294,4,589.8338341139424,1,2,4,124,2.3333333333333335,About to Sleep,1,At Risk
CUST0052,30,4,287.08138506587903,4,2,1,421,2.3333333333333335,New Customers,1,At Risk
