Order_ID,Order_Date,Ship_Date,Customer_ID,Customer_Name,Segment,Region,Product_ID,Product_Category,Product_Sub_Category,Product_Name,Sales,Quantity,Discount,Profit,Shipping_Cost,Order_Priority,Unit_Price,Revenue
ORD000001,2022-01-01 00:00:00,2022-01-02 00:00:00,CUST1127,Customer_1275,Consumer,Central,PROD0215,Office Supplies,Appliances,Product_2,235.92643984491033,1,0.0,39.77540124260096,8.15725061844054,High,235.92643984491033,235.92643984491033
ORD000002,2022-01-01 01:00:00,2022-01-02 01:00:00,CUST1460,Customer_1334,Corporate,East,PROD0002,Furniture,Shirts,Product_206,180.50273921461704,9,0.15,12.835349761169583,3.822394037404041,Medium,20.055859912735226,180.50273921461704
ORD000003,2022-01-01 02:00:00,2022-01-02 02:00:00,CUST0861,Customer_1744,Corporate,East,PROD0121,Electronics,Paper,Product_230,40.97699767707395,7,0.0,46.20363573245932,9.084032084384909,Low,5.853856811010565,40.97699767707395
ORD000004,2022-01-01 03:00:00,2022-01-02 03:00:00,CUST1295,Customer_833,Corporate,East,PROD0103,Clothing,Appliances,Product_335,421.6658203011853,9,0.1,14.270851781582817,6.348036073482419,High,46.85175781124281,421.6658203011853
ORD000005,2022-01-01 04:00:00,2022-01-02 04:00:00,CUST1131,Customer_140,Consumer,South,PROD0149,Office Supplies,Accessories,Product_192,151.93819413190042,5,0.0,-62.7125645224467,36.46798897316005,High,30.387638826380083,151.93819413190042
ORD000006,2022-01-01 05:00:00,2022-01-02 05:00:00,CUST1096,Customer_792,Home Office,South,PROD0436,Furniture,Chairs,Product_320,216.91027398574363,9,0.1,28.284227384348178,5.527908497500494,High,24.101141553971516,216.91027398574363
ORD000007,2022-01-01 06:00:00,2022-01-02 06:00:00,CUST1725,Customer_546,Consumer,East,PROD0152,Clothing,Phones,Product_356,78.55064729257418,5,0.25,-24.928636560342433,11.455969715875327,High,15.710129458514837,78.55064729257418
ORD000008,2022-01-01 07:00:00,2022-01-02 07:00:00,CUST1045,Customer_1845,Corporate,East,PROD0053,Furniture,Chairs,Product_253,45.83257316438141,6,0.25,40.25859553882806,4.730251652464165,High,7.638762194063568,45.83257316438141
ORD000009,2022-01-01 08:00:00,2022-01-02 08:00:00,CUST1639,Customer_1017,Consumer,Central,PROD0166,Clothing,Phones,Product_472,165.3186299599197,8,0.2,4.925381987937529,10.704726850956472,Medium,20.66482874498996,165.3186299599197
ORD000010,2022-01-01 09:00:00,2022-01-02 09:00:00,CUST0122,Customer_1928,Consumer,South,PROD0404,Clothing,Phones,Product_316,104.88947829168676,9,0.1,17.259076460755164,9.224516732768276,Low,11.654386476854084,104.88947829168676
ORD000011,2022-01-01 10:00:00,2022-01-02 10:00:00,CUST0467,Customer_1554,Consumer,Central,PROD0306,Electronics,Accessories,Product_89,107.90485526378593,3,0.0,59.00803995131851,3.9010391900013235,Low,35.96828508792864,107.90485526378593
ORD000012,2022-01-01 11:00:00,2022-01-02 11:00:00,CUST1239,Customer_57,Consumer,Central,PROD0167,Electronics,Appliances,Product_393,60.40548617192635,2,0.0,26.63565426844159,8.748272356516317,High,30.202743085963174,60.40548617192635
ORD000013,2022-01-01 12:00:00,2022-01-02 12:00:00,CUST0331,Customer_112,Home Office,East,PROD0316,Clothing,Appliances,Product_15,152.61314203307361,5,0.0,20.428184876804234,12.6646608288934,High,30.52262840661472,152.61314203307361
ORD000014,2022-01-01 13:00:00,2022-01-02 13:00:00,CUST1483,Customer_5,Consumer,West,PROD0370,Furniture,Tables,Product_165,74.45190154593116,6,0.0,30.44577002357196,4.660337457857844,Medium,12.408650257655195,74.45190154593116
ORD000015,2022-01-01 14:00:00,2022-01-02 14:00:00,CUST0088,Customer_1434,Corporate,East,PROD0475,Electronics,Phones,Product_262,270.7146041081578,8,0.0,-15.587646672599547,5.30102242737128,Medium,33.839325513519725,270.7146041081578
ORD000016,2022-01-01 15:00:00,2022-01-02 15:00:00,CUST1397,Customer_1438,Home Office,South,PROD0364,Furniture,Shirts,Product_427,89.18346266609888,4,0.1,55.64038624364095,8.14830608628641,Medium,22.29586566652472,89.18346266609888
ORD000017,2022-01-01 16:00:00,2022-01-02 16:00:00,CUST1124,Customer_1206,Consumer,West,PROD0295,Office Supplies,Phones,Product_45,118.38662884780446,1,0.0,4.9528682633836665,7.767182376088142,Low,118.38662884780446,118.38662884780446
ORD000018,2022-01-01 17:00:00,2022-01-02 17:00:00,CUST0872,Customer_1037,Corporate,South,PROD0071,Office Supplies,Binders,Product_332,72.91747685597953,4,0.2,18.985064787207023,7.396516763292227,Low,18.229369213994882,72.91747685597953
